User,Text,Date,Retweets,Favorites
taylorswift13,"RT @austinswift7: Recently realized that in 4 years we'll all be living in ""the twenties""  I'm not mad but a heads-up on that one might've…","Fri Apr 01 04:18:14 +0000 2016",14299,0
taylorswift13,"GROUND YOURSELF.
@austinswift7 https://t.co/mkUQYeto0i","Sun Mar 27 01:38:49 +0000 2016",19721,63560
taylorswift13,"A devastating loss.
@austinswift7 https://t.co/ok021VmIEn","Sun Mar 27 01:25:04 +0000 2016",18071,59789
taylorswift13,"Easter Egg Battles 2016
@austinswift7 https://t.co/Nv85oxoBQj","Sun Mar 27 01:19:56 +0000 2016",19455,58309
taylorswift13,"RT @twitter: Thank you, @taylorswift13 for celebrating love and sharing your stage with us every day. #LoveTwitter
https://t.co/mfkSawqfLK","Tue Mar 22 05:18:57 +0000 2016",11018,0
taylorswift13,"Dogs tho. https://t.co/h0uiMM6JO2","Thu Mar 17 18:52:22 +0000 2016",28871,84737
taylorswift13,"HAPPY BIRTHDAY AUSTIN!!!!!
Thanks for 24 years of LOLs.
@austinswift7 https://t.co/ruTohXcwWO","Fri Mar 11 23:57:32 +0000 2016",25226,93540
taylorswift13,"RT @RWitherspoon: Happy #InternationalWomensDay ladies!!! A little inspiration courtesy @taylorswift13 #IWD2016 🎨@FOXADHD https://t.co/kG8N…","Tue Mar 08 23:11:20 +0000 2016",18949,0
taylorswift13,"So grateful and inspired today!
Take the Pledge For Parity at
https://t.co/nQosDLJSY2
#HappyInternationalWomensDay https://t.co/MkZJfa5I7Y","Tue Mar 08 18:07:58 +0000 2016",15571,41317
taylorswift13,"I feel like we achieved our goal of looking like we're in a new primetime drama series called Family Secrets. https://t.co/O33kRm8VJH","Mon Feb 29 23:42:16 +0000 2016",42657,147301
taylorswift13,"I'm very happy to say the next single from 1989 will be 'New Romantics'.","Sat Feb 20 03:52:59 +0000 2016",82823,187989
taylorswift13,"RT @BindiIrwin: So grateful to have people like @taylorswift13 in the world to share positivity and light. We all need a reminder to stay s…","Fri Feb 19 02:22:04 +0000 2016",9678,0
taylorswift13,"RT @RubyRose: Congratulations @taylorswift13 first you looked amazing, second you performed like a queen and you ended with an on point spe…","Wed Feb 17 14:42:17 +0000 2016",13378,0
taylorswift13,"RT @alexmorgan13: Preach @taylorswift13! It's so great to see strong women using their platform to support and inspire girls and women. #po…","Wed Feb 17 00:11:44 +0000 2016",8712,0
taylorswift13,"RT @AbbyWambach: Amen @taylorswift13 A-effing-men!!!!  #mygoshwhatanacceptancespeech","Wed Feb 17 00:09:22 +0000 2016",5750,0
taylorswift13,"The moment it hits you.
@jackantonoff 
#GRAMMYs https://t.co/cKZDjZ3uWN","Tue Feb 16 23:21:13 +0000 2016",20507,71022
taylorswift13,"RT @jessetyler: I'm channeling my inner @taylorswift13 today. I'm quoting that @TheGRAMMYs speech to anyone who crosses me. https://t.co/bI…","Tue Feb 16 22:40:35 +0000 2016",7058,0
taylorswift13,"Oh what a night. ⭐️ https://t.co/6GXus3xD4s","Tue Feb 16 22:28:16 +0000 2016",54521,139877
taylorswift13,"RT @oliviamunn: High-✋ to @taylorswift13 for her big win last night at The Grammys and for giving a kick ass speech to inspire girls everyw…","Tue Feb 16 22:18:16 +0000 2016",7046,0
taylorswift13,"RT @RWitherspoon: @taylorswift13 Loved your amazing words! Keep encouraging all those young women to write their stories&amp; sing their songs …","Tue Feb 16 06:47:50 +0000 2016",13984,0
taylorswift13,"RT @Mariska: Congrats @taylorswift13 on the #BadBlood big win! #MadLove #VideoOfTheYear #BandaidsDontFixBulletHoles #Grammys","Tue Feb 16 01:56:28 +0000 2016",8870,0
taylorswift13,"@ChrisStapleton I glitter-bomb because I care.","Tue Feb 16 01:48:04 +0000 2016",10179,28909
taylorswift13,"@TheGRAMMYs @edsheeran YES.","Mon Feb 15 23:45:51 +0000 2016",16458,34877
taylorswift13,"RT @TheGRAMMYs: Congratulations to @EdSheeran for his first GRAMMY win on #GRAMMYLive. #GRAMMYs https://t.co/nNifrCUeGm https://t.co/NNA3nK…","Mon Feb 15 23:45:36 +0000 2016",32462,0
taylorswift13,"Bad Blood just won a Grammy for Best Music Video and we are not ok.
@selenagomez https://t.co/EquWAq0UPg","Mon Feb 15 22:38:11 +0000 2016",86763,174178
taylorswift13,"RT @TheGRAMMYs: Congrats Best Music Video @taylorswift13 ft. @kendricklamar - ""Bad Blood"" #GRAMMYs","Mon Feb 15 22:35:40 +0000 2016",24157,0
taylorswift13,"RT @imogenheap: Heading to @designindaba now via LHR. Almost 2 years ago @taylorswift13 and I made #clean together. Good luck @TheGRAMMYs t…","Mon Feb 15 21:44:29 +0000 2016",5180,0
taylorswift13,"RT @jackantonoff: 1989 just won pop vocal album!!!! accepted it with t on the phone :) albums made in small apartments win grammys. into it…","Mon Feb 15 21:04:10 +0000 2016",11579,0
taylorswift13,"RT @TheGRAMMYs: .@taylorswift13 calls in (w/@jackantonoff's help) to accept the 1st award at #GRAMMYPremiere https://t.co/9AgLqgsWb5 https:…","Mon Feb 15 20:56:37 +0000 2016",9716,0
taylorswift13,"@TheGRAMMYs I AM SCREAMING","Mon Feb 15 20:44:18 +0000 2016",24445,43748
taylorswift13,"RT @TheGRAMMYs: Congrats Best Pop Vocal Album @taylorswift13 - '1989' #GRAMMYs https://t.co/6gqbPR2JmW","Mon Feb 15 20:42:57 +0000 2016",35538,0
taylorswift13,"RT @TheGRAMMYs: Today's the day! 🎉 #WitnessGreatness at the 58th #GRAMMYs tonight on @CBS at 8PM ET/5PM PT https://t.co/D8SqfZrK4h","Mon Feb 15 15:14:08 +0000 2016",9512,0
taylorswift13,"The making of the Out of The Woods video, directed by @JosephKahn 
🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲
https://t.co/Spc3VNnR8e","Tue Feb 09 17:15:59 +0000 2016",16611,42511
taylorswift13,"COLDPLAY
MARK RONSON
BRUNO MARS
BEYONCÉ
DANCE BATTLE 
FIX YOU MONTAGE
JOYOUS FINALE
OH MY GOD IT WAS SO GOOD I FEEL LIKE I DREAMED IT","Mon Feb 08 01:42:07 +0000 2016",62445,152172
taylorswift13,"RT @TheGRAMMYs: It's true! @taylorswift13 will return to the GRAMMY stage for a performance at the 58th #GRAMMYs Feb. 15 on @CBS! https://t…","Mon Feb 08 01:12:11 +0000 2016",22937,0
taylorswift13,"Stunning. 
https://t.co/JgII9TdjNK","Wed Jan 13 19:34:31 +0000 2016",17875,48704
taylorswift13,"RT @MusCornerNash: What's your favorite song from @taylorswift13's 1989? Nashville songwriters will sing them 2/5 @CityWineryNSH https://t.…","Sat Jan 09 23:32:33 +0000 2016",4810,0
taylorswift13,"@MusCornerNash @CityWineryNSH This is amazing!! I'm so honored that you would do this.","Sat Jan 09 23:32:28 +0000 2016",5805,17209
taylorswift13,"Magic
Madness
Heaven
Sin

https://t.co/DUGPiS2jg6","Thu Jan 07 21:11:10 +0000 2016",27232,63955
taylorswift13,"Say you'll remember me.

https://t.co/GwbFXg7k6U","Tue Jan 05 02:37:01 +0000 2016",29406,68744
taylorswift13,"She lost him 
but she found herself 
and somehow that was everything. 

#OOTWMusicVideo is now on @VEVO https://t.co/k4emHDRfD3","Fri Jan 01 04:25:54 +0000 2016",57438,95766
taylorswift13,"""I just realized we got through Christmas this year without listening to 'Christmas Lights' by Coldplay and crying!"" 
-@austinswift7","Fri Jan 01 02:09:22 +0000 2016",17779,61585
taylorswift13,"Are we in the clear yet?

#OOTWMusicVideo 
Premiering at 10:50pm EST on ABC @NYRE @JosephKahn @RyanSeacrest https://t.co/x2KYNDRTbK","Fri Jan 01 00:14:11 +0000 2016",31296,76138
taylorswift13,"RT @NYRE: Oh, the anticipation for the #OOTWMusicVideo! 😁 Who's ready for the premiere on #RockinEve, TONIGHT at 8/7c?! https://t.co/QRZF6n…","Thu Dec 31 20:35:26 +0000 2015",10544,0
taylorswift13,"Are we out of the woods yet?

#OOTWMusicVideo premieres tomorrow night on @NYRE with @RyanSeacrest! https://t.co/wRLrZeaARh","Thu Dec 31 00:19:23 +0000 2015",37567,81715
taylorswift13,"You used to call me on my elf phone. https://t.co/nMgUI0Igp6","Thu Dec 24 18:54:37 +0000 2015",65887,181202
taylorswift13,"Performing with Mary was a dream. Thank you @maryjblige for this incredible moment you created in LA. ❤️ 
https://t.co/fKRtvtpkLw","Wed Dec 23 18:31:38 +0000 2015",11129,37934
taylorswift13,"I can't wait to show you the video for Out Of The Woods!
🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲🌲
It's premiering 12/31 on @NYRE with @RyanSeacrest.
#OOTWMusicVideo","Tue Dec 22 17:17:20 +0000 2015",34565,72682
taylorswift13,"RT @GMA: That's right! @taylorswift13's music video debut for ""Out of the Woods"" will be during @RyanSeacrest's @NYRE! https://t.co/scJ73H9…","Tue Dec 22 17:11:13 +0000 2015",10299,0
taylorswift13,"RT @camilacabello97: currently watching @taylorswift13 's 1989 world tour movie in the backseat of my car and crying at how magical it is","Mon Dec 21 19:48:18 +0000 2015",16409,0
taylorswift13,"RT @AppleMusic: #1989WorldTourLIVE is HERE.
TY @taylorswift13! ✨
Watch now on #AppleMusic.
https://t.co/vq14vXfPwn
https://t.co/mkZEFi2tYf","Sun Dec 20 14:10:19 +0000 2015",20620,0
taylorswift13,"RT @TwitterMoments: People are totally freaking out 😱over @taylorswift13’s 1989 World Tour Live. See the moment here: https://t.co/RD1xHKVA…","Sun Dec 20 14:10:02 +0000 2015",5605,0
taylorswift13,"It's here! #1989WorldTourLive is now on @AppleMusic! https://t.co/ujxT7ggxbS https://t.co/1Y3nv4FVIl","Sun Dec 20 05:31:51 +0000 2015",30853,71979
taylorswift13,"This clip brought back so many amazing memories!!  
I love you @idinamenzel and @TheEllenShow ✨✨✨
https://t.co/O6xnZEihaH","Thu Dec 17 23:54:15 +0000 2015",10662,29976
taylorswift13,"Celebrate with us December 20 on @AppleMusic 🎉🎉🎉
#1989WorldTourLIVE https://t.co/oksxT1q6pM","Thu Dec 17 20:29:23 +0000 2015",14975,41584
taylorswift13,"Met up with @ZaneLowe to talk about #1989WorldTourLIVE- airs tomorrow at 9am PST on @Beats1 
https://t.co/rzGwjF4mYn https://t.co/gaF0k62cqt","Sun Dec 13 19:01:04 +0000 2015",15218,48097
taylorswift13,"Thank you so much for all the birthday wishes. I have a little surprise for you.
#1989WorldTourLIVE @applemusic
https://t.co/actZbWBt4R","Sun Dec 13 17:04:36 +0000 2015",53094,103223
taylorswift13,"Today I begin my 26th year of freaking out over stuff. https://t.co/HjWAE7sluQ","Sun Dec 13 14:28:47 +0000 2015",64440,176217
taylorswift13,"Farewell, 1989 World Tour. 💔❤️ https://t.co/YraKYoIMkK","Sat Dec 12 12:20:15 +0000 2015",36554,99366
taylorswift13,"The 1989 World Tour is officially over, the most beautiful chapter in our story so far.. Thanks to you.","Sat Dec 12 11:48:39 +0000 2015",45366,120193
taylorswift13,"can we get a selfie tho https://t.co/UscfTtwMxC","Sun Dec 06 05:36:21 +0000 2015",36700,126935
taylorswift13,"Thank you, Brisbane, for an epic night. You guys are incredible ❤️ https://t.co/cgNII9P3ps","Sun Dec 06 05:34:19 +0000 2015",15924,57558
taylorswift13,"Me: Please love me.
Kangaroo: No. https://t.co/9CLnECzgF1","Sun Dec 06 05:32:38 +0000 2015",29609,93508
taylorswift13,"Making friends on Hamilton Island. https://t.co/26SLoiCUZt","Wed Dec 02 13:02:16 +0000 2015",27141,94230
taylorswift13,"Swift family road trip!
South Island, NZ

@austinswift7 https://t.co/xxhiHwNnSk","Mon Nov 30 21:45:46 +0000 2015",19854,67209
taylorswift13,"I love you, Sydney.
All 76,000 of you. https://t.co/URV3YlAtlT","Sat Nov 28 14:48:47 +0000 2015",23725,82393
taylorswift13,"Praying for Paris. Our hearts are breaking for and with you. https://t.co/8tQF6QHyz6","Sat Nov 14 08:13:40 +0000 2015",53464,125990
taylorswift13,"Farewell, Shanghai!! 
💋 https://t.co/UOwfdCAtar","Thu Nov 12 14:41:14 +0000 2015",14569,50496
taylorswift13,"RT @Scholastic: How does @taylorswift13 #sharepossible? With an incredible donation of 25,000 books to NYC schools! Read more: &gt;&gt; https://t…","Thu Nov 12 03:14:49 +0000 2015",4785,0
taylorswift13,"I loved playing Shanghai last night-- so stoked to play 2 more shows here!! https://t.co/nzFCEdOdQN","Wed Nov 11 04:06:05 +0000 2015",20775,64378
taylorswift13,"@NRJhitmusiconly Merci!!!! 🇫🇷🇫🇷🇫🇷💋💋💋","Sun Nov 08 09:10:14 +0000 2015",7149,16162
taylorswift13,"Congratulations on your CMA wins @KeithUrban @ericchurch @FLAGALine @MaddieandTae and @macmcanally!! Sending you hugs from Singapore 🏆🏆🏆🍾🍾🍾","Thu Nov 05 10:19:06 +0000 2015",10948,38704
taylorswift13,"Sending congrats from Singapore to Nashville to my friends who won CMAs tonight! @lukebryan @mirandalambert @chrisstapleton @littlebigtown","Thu Nov 05 10:16:55 +0000 2015",10710,38564
taylorswift13,"Elevator Elsa!!! Amazing.
@idinamenzel 
https://t.co/pNpr9PKF26","Wed Nov 04 20:31:08 +0000 2015",9284,28104
taylorswift13,"RT @billboard: Taylor Swift is now a member of a new squad (and this one is even more exclusive) https://t.co/iJdR0VhGwC","Sun Nov 01 12:02:20 +0000 2015",8446,0
taylorswift13,"RT @lordemusic: my angels!!! @taylorswift13 @alessiacara","Sun Nov 01 09:22:23 +0000 2015",7674,0
taylorswift13,"Sharing a stage with @alessiacara and @idinamenzel was the perfect way to end this amazing chapter. Thanks ladies ☃💕 https://t.co/7UvqdtP5qM","Sun Nov 01 09:19:09 +0000 2015",28898,77823
taylorswift13,"""The cold never bothered me anyway"" 
*QUICK CHANGE*
@idinamenzel 
#letitgo #1989TourTampa https://t.co/Ua6JcGk8or","Sun Nov 01 05:37:45 +0000 2015",29277,64620
taylorswift13,"I honestly couldn't be more impressed by @alessiacara. 55,000 people and she was absolutely fearless. https://t.co/btwupLZCLv","Sun Nov 01 05:35:29 +0000 2015",18131,51261
taylorswift13,"About to play the last show of the US 1989 Tour. 
Feelings EVERYWHERE.
#1989TourTampa","Sat Oct 31 23:49:31 +0000 2015",22271,64263
taylorswift13,"With every passing day, Olivia looks less like a cat and more like a melting snowman.

Happy #NationalCatDay 🐱⛄️ https://t.co/5iHXCBuZo7","Thu Oct 29 21:40:17 +0000 2015",34921,92265
taylorswift13,"This is one of my favorite covers I've heard of Out of the Woods-- amazing job @4kingandcountry 👑✨🎤

https://t.co/z8GySLXGCu","Thu Oct 29 18:07:57 +0000 2015",10718,26681
taylorswift13,"Miami!!! What a night! Thank you to our surprise guests @DwyaneWade, @pitbull &amp; @ricky_martin 🎉
#HappyBirthday1989 https://t.co/3BlvILVckW","Wed Oct 28 07:32:54 +0000 2015",17573,49256
taylorswift13,"To celebrate #HappyBirthday1989, here's something from me. 
Out of the Woods (solo acoustic piano performance)
🎹🌲🌲🌲🌲
https://t.co/C6dUjyYgw3","Tue Oct 27 20:00:09 +0000 2015",28412,50128
taylorswift13,"RT @treepaine: Fun facts:1989 has reigned No.1 on the Billboard 200 chart for 11 weeks &amp; has been in the Top 10 for 52 consecutive weeks. H…","Tue Oct 27 19:47:24 +0000 2015",6956,0
taylorswift13,"1989 came out 1 year ago today. It's been the best year of my life.
I love you guys.
#HappyBirthday1989 https://t.co/J1Xx2NKIkE","Tue Oct 27 14:34:10 +0000 2015",50939,101348
taylorswift13,"RT @charliewalk: @TaylorSwift13 Scores Fifth No. 1 From '1989' on Pop Songs Chart @billboard https://t.co/UzKGk8Y00M","Mon Oct 26 23:31:51 +0000 2015",5177,0
taylorswift13,"Wildest Dreams just hit number one on Top 40 radio! Thank you so much for everything, guys. 🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾
@RepublicRecords @charliewalk","Mon Oct 26 23:28:50 +0000 2015",16427,48208
taylorswift13,"""Now if we're talkin body...""
@ToveLo 
#1989touratlanta https://t.co/AKmwgi7dlz","Sun Oct 25 06:19:31 +0000 2015",16413,41139
taylorswift13,"Tonight was magical. @ToveLo was incredible. I ❤️ you Atlanta. https://t.co/pu4h7EPHmK","Sun Oct 25 04:59:44 +0000 2015",19652,56414
taylorswift13,"RT @mirandalambert: @taylorswift13 .... You are a bad ass! Amazing show! #inspired  https://t.co/TYdS1iCkYW","Thu Oct 22 05:08:34 +0000 2015",7787,0
taylorswift13,"Ooooooh
Ahhhhhhh

@mirandalambert 
#1989TourGreensboro https://t.co/KVyAvsj2uW","Thu Oct 22 04:00:30 +0000 2015",11325,29059
